ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,3
Basic Problems B,Basic Problem B-05,4
Basic Problems B,Basic Problem B-06,5
Basic Problems B,Basic Problem B-07,5
Basic Problems B,Basic Problem B-08,6
Basic Problems B,Basic Problem B-09,1
Basic Problems B,Basic Problem B-10,5
Basic Problems B,Basic Problem B-11,1
Basic Problems B,Basic Problem B-12,1
Basic Problems C,Basic Problem C-01,4
Basic Problems C,Basic Problem C-02,1
Basic Problems C,Basic Problem C-03,5
Basic Problems C,Basic Problem C-04,5
Basic Problems C,Basic Problem C-05,1
Basic Problems C,Basic Problem C-06,5
Basic Problems C,Basic Problem C-07,2
Basic Problems C,Basic Problem C-08,5
Basic Problems C,Basic Problem C-09,4
Basic Problems C,Basic Problem C-10,6
Basic Problems C,Basic Problem C-11,3
Basic Problems C,Basic Problem C-12,6
Basic Problems D,Basic Problem D-01,2
Basic Problems D,Basic Problem D-02,4
Basic Problems D,Basic Problem D-03,6
Basic Problems D,Basic Problem D-04,2
Basic Problems D,Basic Problem D-05,6
Basic Problems D,Basic Problem D-06,4
Basic Problems D,Basic Problem D-07,2
Basic Problems D,Basic Problem D-08,2
Basic Problems D,Basic Problem D-09,1
Basic Problems D,Basic Problem D-10,5
Basic Problems D,Basic Problem D-11,6
Basic Problems D,Basic Problem D-12,3
Basic Problems E,Basic Problem E-01,4
Basic Problems E,Basic Problem E-02,1
Basic Problems E,Basic Problem E-03,2
Basic Problems E,Basic Problem E-04,6
Basic Problems E,Basic Problem E-05,5
Basic Problems E,Basic Problem E-06,4
Basic Problems E,Basic Problem E-07,1
Basic Problems E,Basic Problem E-08,1
Basic Problems E,Basic Problem E-09,4
Basic Problems E,Basic Problem E-10,4
Basic Problems E,Basic Problem E-11,2
Basic Problems E,Basic Problem E-12,6
Challenge Problems B,Challenge Problem B-01,4
Challenge Problems B,Challenge Problem B-02,5
Challenge Problems B,Challenge Problem B-03,2
Challenge Problems B,Challenge Problem B-04,1
Challenge Problems B,Challenge Problem B-05,2
Challenge Problems B,Challenge Problem B-06,4
Challenge Problems B,Challenge Problem B-07,1
Challenge Problems B,Challenge Problem B-08,2
Challenge Problems B,Challenge Problem B-09,4
Challenge Problems B,Challenge Problem B-10,1
Challenge Problems B,Challenge Problem B-11,5
Challenge Problems B,Challenge Problem B-12,5
Challenge Problems C,Challenge Problem C-01,2
Challenge Problems C,Challenge Problem C-02,2
Challenge Problems C,Challenge Problem C-03,1
Challenge Problems C,Challenge Problem C-04,5
Challenge Problems C,Challenge Problem C-05,3
Challenge Problems C,Challenge Problem C-06,3
Challenge Problems C,Challenge Problem C-07,4
Challenge Problems C,Challenge Problem C-08,5
Challenge Problems C,Challenge Problem C-09,1
Challenge Problems C,Challenge Problem C-10,1
Challenge Problems C,Challenge Problem C-11,1
Challenge Problems C,Challenge Problem C-12,6
Challenge Problems D,Challenge Problem D-01,2
Challenge Problems D,Challenge Problem D-02,2
Challenge Problems D,Challenge Problem D-03,6
Challenge Problems D,Challenge Problem D-04,6
Challenge Problems D,Challenge Problem D-05,5
Challenge Problems D,Challenge Problem D-06,4
Challenge Problems D,Challenge Problem D-07,2
Challenge Problems D,Challenge Problem D-08,5
Challenge Problems D,Challenge Problem D-09,6
Challenge Problems D,Challenge Problem D-10,3
Challenge Problems D,Challenge Problem D-11,5
Challenge Problems D,Challenge Problem D-12,5
Challenge Problems E,Challenge Problem E-01,1
Challenge Problems E,Challenge Problem E-02,1
Challenge Problems E,Challenge Problem E-03,2
Challenge Problems E,Challenge Problem E-04,2
Challenge Problems E,Challenge Problem E-05,5
Challenge Problems E,Challenge Problem E-06,5
Challenge Problems E,Challenge Problem E-07,4
Challenge Problems E,Challenge Problem E-08,5
Challenge Problems E,Challenge Problem E-09,4
Challenge Problems E,Challenge Problem E-10,1
Challenge Problems E,Challenge Problem E-11,5
Challenge Problems E,Challenge Problem E-12,2
